        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , VDDC Power Draw [W] , VDDCI Power Draw [W] , VRM Efficiency [%] , VDDC [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2022-04-16 08:20:59 ,        1216.0   ,           1750.0   ,               76.0   ,              52   ,                1950   ,        100   ,                       61   ,                       2917   ,                      155   ,                 118.4   ,              83.7   ,               10.7   ,             94.6   , 0.9750   ,               51.0   ,                 10198   ,
2022-04-16 08:21:00 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                1986   ,        100   ,                       42   ,                       2938   ,                      155   ,                 108.8   ,             112.9   ,               10.7   ,             94.3   , 0.9813   ,               49.0   ,                 10112   ,
2022-04-16 08:21:01 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2024   ,        100   ,                       76   ,                       2942   ,                      155   ,                 100.4   ,             102.7   ,               10.7   ,             94.4   , 0.9813   ,               49.0   ,                 10110   ,
2022-04-16 08:21:02 ,        1216.0   ,           1750.0   ,               77.0   ,              53   ,                2047   ,        100   ,                       32   ,                       2924   ,                      155   ,                  90.5   ,             100.7   ,               10.7   ,             94.6   , 0.9813   ,               48.0   ,                 10125   ,
2022-04-16 08:21:03 ,        1216.0   ,           1750.0   ,               77.0   ,              54   ,                2085   ,         99   ,                       15   ,                       2934   ,                      155   ,                 107.5   ,             107.2   ,               10.7   ,             94.6   , 0.9813   ,               49.0   ,                 10112   ,
2022-04-16 08:21:04 ,        1216.0   ,           1750.0   ,               77.0   ,              55   ,                2127   ,        100   ,                       31   ,                       2947   ,                      155   ,                 102.0   ,             114.3   ,               10.7   ,             94.1   , 0.9813   ,               49.0   ,                 10114   ,
2022-04-16 08:21:05 ,        1216.0   ,           1750.0   ,               77.0   ,              55   ,                2148   ,        100   ,                       68   ,                       2981   ,                      155   ,                 115.5   ,              94.0   ,               10.7   ,             94.0   , 0.9813   ,               50.0   ,                 10146   ,
2022-04-16 08:21:06 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2180   ,         99   ,                       17   ,                       3029   ,                      155   ,                 108.4   ,              90.9   ,               10.7   ,             95.3   , 0.9750   ,               51.0   ,                 10139   ,
2022-04-16 08:21:07 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2189   ,        100   ,                       39   ,                       3033   ,                      155   ,                 114.5   ,              88.4   ,               10.7   ,             94.4   , 0.9813   ,               51.0   ,                 10128   ,
2022-04-16 08:21:08 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2188   ,         96   ,                       39   ,                       3044   ,                      155   ,                 130.3   ,              79.8   ,               10.7   ,             94.8   , 0.9750   ,               50.0   ,                 10109   ,
2022-04-16 08:21:09 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2190   ,         94   ,                       16   ,                       3053   ,                      155   ,                 105.9   ,              98.9   ,               10.7   ,             95.1   , 0.9750   ,               50.0   ,                 10120   ,
2022-04-16 08:21:10 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2189   ,        100   ,                       23   ,                       3053   ,                      155   ,                 116.4   ,              99.6   ,               10.7   ,             94.9   , 0.9750   ,               49.0   ,                 10126   ,
2022-04-16 08:21:11 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2219   ,        100   ,                       63   ,                       3062   ,                      155   ,                 124.8   ,              83.0   ,               10.7   ,             94.8   , 0.9750   ,               51.0   ,                 10128   ,
2022-04-16 08:21:12 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2230   ,        100   ,                       39   ,                       3071   ,                      155   ,                  96.2   ,              98.2   ,               10.7   ,             94.0   , 0.9813   ,               51.0   ,                 10135   ,
2022-04-16 08:21:13 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,         56   ,                       24   ,                       3087   ,                      155   ,                 127.8   ,              96.7   ,               10.7   ,             95.1   , 0.9750   ,               51.0   ,                 10139   ,
2022-04-16 08:21:14 ,        1216.0   ,           1750.0   ,               76.0   ,              56   ,                2232   ,        100   ,                       45   ,                       3098   ,                      155   ,                 129.1   ,              90.4   ,               10.7   ,             94.9   , 0.9750   ,               51.0   ,                 10148   ,
2022-04-16 08:21:15 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,         99   ,                       18   ,                       3099   ,                      155   ,                 121.5   ,              92.2   ,               10.7   ,             94.9   , 0.9750   ,               48.0   ,                 10141   ,
2022-04-16 08:21:16 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,        100   ,                       40   ,                       3102   ,                      155   ,                 113.9   ,              42.5   ,               10.7   ,             94.8   , 0.9750   ,               50.0   ,                 10146   ,
2022-04-16 08:21:17 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,          3   ,                        0   ,                       3105   ,                      109   ,                 131.2   ,              96.9   ,               10.7   ,             95.4   , 0.9750   ,               50.0   ,                 10153   ,
2022-04-16 08:21:18 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2231   ,        100   ,                       59   ,                       3128   ,                      109   ,                 102.0   ,             120.1   ,               10.7   ,             94.4   , 0.9813   ,               50.0   ,                 10246   ,
2022-04-16 08:21:19 ,        1216.0   ,           1750.0   ,               76.0   ,              56   ,                2233   ,         98   ,                       28   ,                       3131   ,                      109   ,                  49.7   ,              25.4   ,               10.7   ,             85.7   , 0.9938   ,               49.0   ,                 10182   ,
2022-04-16 08:21:20 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,         96   ,                       38   ,                       3137   ,                      109   ,                 120.7   ,              88.6   ,               10.7   ,             95.2   , 0.9750   ,               50.0   ,                 10181   ,
2022-04-16 08:21:21 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2229   ,         98   ,                       16   ,                       3140   ,                      109   ,                 114.7   ,              97.3   ,               10.7   ,             95.3   , 0.9750   ,               50.0   ,                 10188   ,
2022-04-16 08:21:22 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2229   ,        100   ,                       61   ,                       3140   ,                      109   ,                 111.4   ,             110.8   ,               10.7   ,             94.9   , 0.9750   ,               49.0   ,                 10164   ,
2022-04-16 08:21:23 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2229   ,         95   ,                       15   ,                       3159   ,                      109   ,                 116.2   ,             102.5   ,               10.7   ,             95.3   , 0.9750   ,               49.0   ,                 10165   ,
2022-04-16 08:21:24 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,         97   ,                       44   ,                       3171   ,                      109   ,                 111.6   ,             110.1   ,               10.7   ,             95.0   , 0.9750   ,               49.0   ,                 10167   ,
2022-04-16 08:21:25 ,        1216.0   ,           1750.0   ,               76.0   ,              56   ,                2232   ,          0   ,                        1   ,                       3173   ,                      109   ,                  42.0   ,              25.4   ,               10.7   ,             94.6   , 0.9750   ,               49.0   ,                 10165   ,
2022-04-16 08:21:26 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,         96   ,                       39   ,                       3180   ,                      109   ,                 109.2   ,              98.9   ,               10.7   ,             95.1   , 0.9750   ,               50.0   ,                 10146   ,
2022-04-16 08:21:27 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2229   ,         92   ,                       39   ,                       3190   ,                      109   ,                 124.4   ,              87.2   ,               10.7   ,             95.7   , 0.9750   ,               50.0   ,                 10150   ,
2022-04-16 08:21:28 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,        100   ,                       39   ,                       3194   ,                      109   ,                 116.4   ,             109.1   ,               10.7   ,             94.5   , 0.9813   ,               50.0   ,                 10153   ,
2022-04-16 08:21:29 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,         95   ,                       16   ,                       3196   ,                      109   ,                 111.8   ,              98.3   ,               10.7   ,             95.4   , 0.9750   ,               50.0   ,                 10146   ,
2022-04-16 08:21:30 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,         97   ,                       43   ,                       3197   ,                      109   ,                 111.9   ,             107.1   ,               10.7   ,             94.0   , 0.9813   ,               49.0   ,                 10150   ,
2022-04-16 08:21:31 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,         95   ,                       61   ,                       3203   ,                      109   ,                 118.4   ,              92.5   ,               10.7   ,             95.3   , 0.9750   ,               50.0   ,                 10150   ,
2022-04-16 08:21:32 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,        100   ,                       58   ,                       3203   ,                      109   ,                 112.9   ,              95.4   ,               10.7   ,             95.1   , 0.9688   ,               50.0   ,                 10154   ,
2022-04-16 08:21:33 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2229   ,         96   ,                       16   ,                       3149   ,                      109   ,                 111.6   ,              98.2   ,               10.7   ,             95.4   , 0.9750   ,               52.0   ,                 10182   ,
2022-04-16 08:21:34 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,        100   ,                       39   ,                       3136   ,                      109   ,                  89.3   ,              88.9   ,               10.7   ,             94.4   , 0.9750   ,               53.0   ,                 10022   ,
2022-04-16 08:21:35 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2231   ,         95   ,                       41   ,                       3140   ,                      109   ,                 138.7   ,              87.6   ,               10.7   ,             95.2   , 0.9750   ,               51.0   ,                  9830   ,
2022-04-16 08:21:36 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2230   ,        100   ,                       43   ,                       3140   ,                      109   ,                 133.6   ,             101.7   ,               10.7   ,             95.1   , 0.9688   ,               50.0   ,                  9769   ,
2022-04-16 08:21:37 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2231   ,         96   ,                       38   ,                       3141   ,                      109   ,                 130.7   ,              88.9   ,               10.7   ,             95.1   , 0.9750   ,               48.0   ,                  9774   ,
2022-04-16 08:21:38 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2230   ,         88   ,                       29   ,                       3142   ,                      109   ,                 128.7   ,             100.2   ,               10.7   ,             95.2   , 0.9750   ,               50.0   ,                  9749   ,
2022-04-16 08:21:39 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2232   ,         93   ,                       39   ,                       3147   ,                      109   ,                 125.9   ,              94.5   ,               10.7   ,             95.7   , 0.9750   ,               50.0   ,                  9754   ,
2022-04-16 08:21:40 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2232   ,        100   ,                       38   ,                       3151   ,                      109   ,                 132.9   ,             101.9   ,               10.7   ,             94.7   , 0.9750   ,               50.0   ,                  9755   ,
2022-04-16 08:21:41 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2230   ,         96   ,                       47   ,                       3133   ,                      109   ,                 117.9   ,             107.7   ,               10.7   ,             94.6   , 0.9750   ,               49.0   ,                  9739   ,
2022-04-16 08:21:42 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2230   ,         99   ,                       25   ,                       3131   ,                      109   ,                 117.9   ,              76.9   ,               10.7   ,             95.5   , 0.9750   ,               50.0   ,                  9738   ,
2022-04-16 08:21:43 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2231   ,        100   ,                       46   ,                       3091   ,                      109   ,                 135.3   ,              98.4   ,               10.7   ,             94.7   , 0.9750   ,               49.0   ,                  9759   ,
2022-04-16 08:21:44 ,        1216.0   ,           1750.0   ,               77.0   ,              56   ,                2232   ,          0   ,                        0   ,                       3089   ,                      109   ,                 110.7   ,              25.5   ,               10.7   ,             95.2   , 0.9750   ,               48.0   ,                  9754   ,
2022-04-16 08:21:45 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2230   ,        100   ,                       15   ,                       3089   ,                      109   ,                 132.0   ,             111.5   ,               10.7   ,             95.2   , 0.9750   ,               47.0   ,                  9754   ,
2022-04-16 08:21:46 ,        1216.0   ,           1750.0   ,               78.0   ,              56   ,                2230   ,        100   ,                       40   ,                       3089   ,                      109   ,                 134.4   ,             111.3   ,               10.7   ,             95.2   , 0.9750   ,               47.0   ,                  9756   ,
2022-04-16 08:21:47 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2102   ,         48   ,                       11   ,                       3086   ,                      109   ,                 122.6   ,              91.1   ,               10.7   ,             94.7   , 0.9750   ,               48.0   ,                  9744   ,
2022-04-16 08:21:48 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2069   ,        100   ,                       16   ,                       3079   ,                      109   ,                 130.5   ,              96.9   ,               10.7   ,             95.3   , 0.9750   ,               49.0   ,                  9738   ,
2022-04-16 08:21:49 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2067   ,        100   ,                       12   ,                       3079   ,                      109   ,                 119.6   ,             108.8   ,               10.7   ,             95.3   , 0.9688   ,               49.0   ,                  9738   ,
2022-04-16 08:21:50 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2068   ,        100   ,                        6   ,                       3079   ,                      109   ,                 122.1   ,             104.3   ,               10.7   ,             95.1   , 0.9750   ,               49.0   ,                  9739   ,
2022-04-16 08:21:51 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2066   ,         95   ,                       38   ,                       3079   ,                      109   ,                 130.4   ,             102.1   ,               10.7   ,             95.5   , 0.9750   ,               48.0   ,                  9738   ,
2022-04-16 08:21:52 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2067   ,         96   ,                       44   ,                       3079   ,                      109   ,                 131.2   ,             104.5   ,               10.7   ,             93.2   , 0.9875   ,               49.0   ,                  9739   ,
2022-04-16 08:21:53 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2067   ,        100   ,                       57   ,                       3078   ,                      109   ,                 124.1   ,              88.9   ,               10.7   ,             95.3   , 0.9688   ,               49.0   ,                  9739   ,
2022-04-16 08:21:54 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2067   ,        100   ,                       26   ,                       3087   ,                      109   ,                 123.6   ,             109.1   ,               10.7   ,             95.3   , 0.9688   ,               48.0   ,                  9740   ,
2022-04-16 08:21:55 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2067   ,        100   ,                       43   ,                       3085   ,                      109   ,                 127.9   ,              98.0   ,               10.7   ,             95.0   , 0.9750   ,               48.0   ,                  9742   ,
2022-04-16 08:21:56 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2065   ,         99   ,                       41   ,                       3085   ,                      109   ,                 129.6   ,              98.4   ,               10.7   ,             94.8   , 0.9750   ,               48.0   ,                  9742   ,
2022-04-16 08:21:57 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2065   ,        100   ,                       43   ,                       3085   ,                      109   ,                 127.3   ,              94.1   ,               10.7   ,             95.1   , 0.9750   ,               50.0   ,                  9743   ,
2022-04-16 08:21:58 ,        1216.0   ,           1750.0   ,               78.0   ,              53   ,                2066   ,        100   ,                       10   ,                       3085   ,                      109   ,                 120.5   ,             119.3   ,               10.7   ,             95.2   , 0.9750   ,               50.0   ,                  9761   ,
2022-04-16 08:21:59 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2066   ,        100   ,                       10   ,                       3085   ,                      109   ,                 128.0   ,             116.7   ,               10.7   ,             95.5   , 0.9688   ,               48.0   ,                  9762   ,
2022-04-16 08:22:00 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2066   ,         95   ,                       29   ,                       3085   ,                      117   ,                 121.8   ,             113.5   ,               10.7   ,             95.3   , 0.9750   ,               50.0   ,                  9804   ,
2022-04-16 08:22:01 ,        1216.0   ,           1750.0   ,               79.0   ,              53   ,                2064   ,        100   ,                       27   ,                       3085   ,                      117   ,                 129.7   ,             107.7   ,               10.7   ,             95.3   , 0.9688   ,               49.0   ,                  9809   ,
